year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status,_id
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Asia,1206,0,Provisional,29258
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Australia,40,0,Provisional,29259
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Bahrain,1,0,Provisional,29260
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Bangladesh,13,0,Provisional,29261
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Belarus,4,0,Provisional,29262
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Belgium,1,0,Provisional,29263
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Bermuda,1,0,Provisional,29264
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Bolivia,2,0,Provisional,29265
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Botswana,2,0,Provisional,29266
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Brazil,51,0,Provisional,29267
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Cambodia,12,0,Provisional,29268
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Canada,22,0,Provisional,29269
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Chile,28,0,Provisional,29270
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,China,327,0,Provisional,29271
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Cook Islands,3,0,Provisional,29272
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Cuba,1,0,Provisional,29273
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Czech Republic / Czechia,8,0,Provisional,29274
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Ecuador,4,0,Provisional,29275
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Egypt,2,0,Provisional,29276
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,El Salvador,1,0,Provisional,29277
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Ethiopia,3,0,Provisional,29278
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Europe,313,0,Provisional,29279
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Fiji,52,0,Provisional,29280
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Finland,2,0,Provisional,29281
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Former Yugoslav Republic of Macedonia (FYROM),5,0,Provisional,29282
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,France,25,0,Provisional,29283
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,French Polynesia,5,0,Provisional,29284
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Germany,46,0,Provisional,29285
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Greece,1,0,Provisional,29286
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Hong Kong (Special Administrative Region),14,0,Provisional,29287
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,India,320,0,Provisional,29288
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Indonesia,11,0,Provisional,29289
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Iran,5,0,Provisional,29290
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Ireland,10,0,Provisional,29291
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Israel,8,0,Provisional,29292
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Italy,12,0,Provisional,29293
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Japan,24,0,Provisional,29294
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Jordan,1,0,Provisional,29295
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Kazakhstan,2,0,Provisional,29296
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Kenya,1,0,Provisional,29297
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Kiribati,8,0,Provisional,29298
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Republic of Korea,107,0,Provisional,29299
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Kuwait,3,0,Provisional,29300
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Laos,1,0,Provisional,29301
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Lithuania,2,0,Provisional,29302
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Malaysia,49,0,Provisional,29303
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Mexico,4,0,Provisional,29304
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Nepal,19,0,Provisional,29305
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Netherlands,17,0,Provisional,29306
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,New Caledonia,11,0,Provisional,29307
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,New Zealand,2,0,Provisional,29308
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Greece,2.796,0.376742836,Provisional,29309
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Guam,1,0,Provisional,29310
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Guyana,2,0,Provisional,29311
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Honduras,1,0,Provisional,29312
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Hong Kong (Special Administrative Region),110.184,2.107578663,Provisional,29313
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Hungary,9,0,Provisional,29314
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Iceland,2.024,0.088116243,Provisional,29315
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,India,681.668,2.735330206,Provisional,29316
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Indonesia,64.71,0.92966602,Provisional,29317
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Iran,18,0,Provisional,29318
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Iraq,10,0,Provisional,29319
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Ireland,69.516,1.140147387,Provisional,29320
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Israel,16.986,0.75011277,Provisional,29321
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Italy,50.072,0.899834983,Provisional,29322
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Japan,138.972,2.527341701,Provisional,29323
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Jordan,7.08,0.790130058,Provisional,29324
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Kazakhstan,12,0,Provisional,29325
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Kenya,6.714,0.463738079,Provisional,29326
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Kiribati,46.63,2.334212463,Provisional,29327
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Republic of Korea,188.892,1.611148157,Provisional,29328
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Kuwait,11.748,0.440699925,Provisional,29329
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Laos,7,0,Provisional,29330
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Latvia,2,0,Provisional,29331
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Lebanon,1,0,Provisional,29332
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Lithuania,6.04,0.155804989,Provisional,29333
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Luxembourg,2,0,Provisional,29334
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Macau (Special Administrative Region),3.472,0.651462188,Provisional,29335
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Madagascar,1,0,Provisional,29336
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Malaysia,152.262,1.77886003,Provisional,29337
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Maldives,2,0,Provisional,29338
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Malta,3.768,0.417098067,Provisional,29339
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Mauritius,2.65,0.512121445,Provisional,29340
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Mexico,13.814,0.375969498,Provisional,29341
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Moldova,1,0,Provisional,29342
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Mongolia,1,0,Provisional,29343
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Myanmar,6,0,Provisional,29344
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Namibia,10,0,Provisional,29345
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Nepal,27.862,0.326294084,Provisional,29346
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Netherlands,59.476,1.344849539,Provisional,29347
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,New Caledonia,5.024,0.086397033,Provisional,29348
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,New Zealand,41.416,1.446815416,Provisional,29349
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Nicaragua,0.878,0.304726173,Provisional,29350
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Nigeria,9,0,Provisional,29351
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Niue,9.89,1.141917359,Provisional,29352
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Northern Mariana Islands,1,0,Provisional,29353
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Norway,11.41,0.480807865,Provisional,29354
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Not Stated,1164.184,11.96578818,Provisional,29355
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Oceania and Antarctica,4676.244,23.58584496,Provisional,29356
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Oman,16.7,1.098007857,Provisional,29357
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Pakistan,30.554,0.94496244,Provisional,29358
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Papua New Guinea,3.512,0.484334645,Provisional,29359
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Peru,10.944,0.393681581,Provisional,29360
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Philippines,441.838,1.68276529,Provisional,29361
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Pitcairn,1,0,Provisional,29362
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Poland,18,0,Provisional,29363
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Portugal,6,0,Provisional,29364
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Qatar,24,0,Provisional,29365
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Romania,2,0,Provisional,29366
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Russia,46.852,0.845183096,Provisional,29367
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Samoa,334.64,2.705226627,Provisional,29368
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Samoa,9,0,Provisional,29369
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Saudi Arabia,43.97,0.385992818,Provisional,29370
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Serbia,14,0,Provisional,29371
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Singapore,178.012,1.747649143,Provisional,29372
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Slovakia,3,0,Provisional,29373
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Slovenia,4,0,Provisional,29374
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Solomon Islands,6.588,0.442888737,Provisional,29375
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Somalia,1,0,Provisional,29376
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,South Africa,665.456,2.12892446,Provisional,29377
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Spain,46.24,0.934697772,Provisional,29378
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Sri Lanka,108.922,0.878669953,Provisional,29379
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Swaziland / Eswatini,3,0,Provisional,29380
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Sweden,44.916,1.115157488,Provisional,29381
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Switzerland,23.978,0.574274544,Provisional,29382
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Syria,1,0,Provisional,29383
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Taiwan,43.768,1.109531966,Provisional,29384
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Tanzania,2,0,Provisional,29385
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Thailand,85.544,1.43977676,Provisional,29386
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,The Americas,1080.492,4.795836339,Provisional,29387
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Timor-Leste,12,0,Provisional,29388
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Tokelau,9.64,0.582473979,Provisional,29389
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Tonga,203.262,1.792759421,Provisional,29390
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,TOTAL,13343.708,47.85791441,Provisional,29391
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Turkey,16.03,0.60914278,Provisional,29392
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Turks and Caicos Islands,0.848,0.3498986,Provisional,29393
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Tuvalu,17,0,Provisional,29394
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Uganda,2,0,Provisional,29395
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Ukraine,12.912,0.224952319,Provisional,29396
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,United Arab Emirates,95.648,1.106693853,Provisional,29397
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,United Kingdom,1350.398,5.031703774,Provisional,29398
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,United States of America,472.382,3.130765886,Provisional,29399
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Uruguay,13.39,0.594783102,Provisional,29400
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Vanuatu,28.8,1.35159931,Provisional,29401
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Venezuela,1,0,Provisional,29402
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Viet Nam,59.882,0.535444042,Provisional,29403
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Virgin Islands,2,0,Provisional,29404
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Zambia,0.034,0.14427187,Provisional,29405
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Zimbabwe,13,0,Provisional,29406
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Afghanistan,4.926,0.201825002,Provisional,29407
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Africa and the Middle East,1215.562,5.807343159,Provisional,29408
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Algeria,2.098,0.265590259,Provisional,29409
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Angola,1,0,Provisional,29410
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Antigua and Barbuda,0.126,0.302044347,Provisional,29411
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Argentina,52.708,1.183211557,Provisional,29412
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Asia,5349.392,40.19881339,Provisional,29413
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Australia,2482.488,19.99429659,Provisional,29414
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Austria,10.352,0.767477435,Provisional,29415
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bahrain,13.588,0.589277898,Provisional,29416
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bangladesh,20.438,0.638236245,Provisional,29417
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Barbados,4.75,0.424189321,Provisional,29418
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Belarus,1.818,0.401807779,Provisional,29419
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Belgium,47.114,1.12827526,Provisional,29420
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Belize,1,0,Provisional,29421
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bermuda,1,0,Provisional,29422
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bolivia,5.066,0.20083069,Provisional,29423
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Botswana,9,0,Provisional,29424
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Brazil,131.612,2.899762823,Provisional,29425
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Brunei Darussalam,6.63,0.80203453,Provisional,29426
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Cambodia,39.722,1.649026356,Provisional,29427
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Canada,281.808,4.723727984,Provisional,29428
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Cayman Islands,5,0,Provisional,29429
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Chile,41.16,1.801833269,Provisional,29430
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,China,1610.042,22.05801627,Provisional,29431
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Colombia,26.944,1.213097803,Provisional,29432
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Congo,2,0,Provisional,29433
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Cook Islands,31.2,1.663680342,Provisional,29434
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Costa Rica,1.62,0.537645388,Provisional,29435
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Croatia,2.118,0.327871534,Provisional,29436
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Cuba,1,0,Provisional,29437
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Czech Republic / Czechia,47.462,1.210084324,Provisional,29438
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Denmark,21.874,0.901020814,Provisional,29439
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Dominican Republic,3,0,Provisional,29440
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Ecuador,35.008,0.467243535,Provisional,29441
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Egypt,17.984,0.526940911,Provisional,29442
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,El Salvador,2,0,Provisional,29443
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Eritrea,4,0,Provisional,29444
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Estonia,1.408,0.58108853,Provisional,29445
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Ethiopia,9,0,Provisional,29446
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Europe,2462.154,16.06548574,Provisional,29447
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Fiji,243.652,4.352741487,Provisional,29448
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Finland,16.552,0.963344817,Provisional,29449
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Former Yugoslav Republic of Macedonia (FYROM),5,0,Provisional,29450
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,France,220.338,4.93912922,Provisional,29451
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,French Polynesia,1.932,0.603726857,Provisional,29452
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Gaza Strip/Palestine/West Bank,1,0,Provisional,29453
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Germany,221.908,5.722657798,Provisional,29454
2018-01,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Ghana,5.57,0.559188381,Provisional,29455
